"","RiskPerformance","ExternalRiskEstimate","MSinceOldestTradeOpen","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","NumTrades90Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTotalTrades","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NumInqLast6Mexcl7days","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance","No_report","No_valid_MSinceOldestTradeOpen","No_valid_MSinceMostRecentDelq","No_valid_MSinceMostRecentInqexcl7days","No_valid_NetFractionRevolvingBurden","No_valid_NetFractionInstallBurden","No_valid_NumRevolvingTradesWBalance","No_valid_NumInstallTradesWBalance","No_valid_NumBank2NatlTradesWHighUtilization","No_MSinceMostRecentDelq","No_MSinceMostRecentInqexcl7days"
"2463","Bad",70,145,1,11,8,0,0,100,32.7883333333333,"7","8",8,4,30,1,4,4,28,80.5733333333333,2,1,0,43,"0","0","0","0","0","1","0","0","0","1","0"
"2511","Bad",62,254,20,69,11,5,4,69,24,"6","2",21,0,44,4.01,0,0,40,44,5,2,2,100,"0","0","0","1","0","0","0","0","0","0","0"
"8718","Good",68,222,2,93,32,0,0,97,16,"6","6",37,1,35,0,2,2,62,64.765,5,1,2,60,"0","0","0","0","0","1","0","0","0","0","0"
"2986","Good",66,95,21,64,18,1,1,100,33.6466666666667,"6","8",18,0,22,0,0,0,75,53,7,2,4,100,"0","0","0","0","0","0","0","0","0","1","0"
"1842","Good",74,191,4,66,37,0,0,97,13,"6","6",26,1,57,6.92804977375565,0,0,33,83,4,6,0,63,"0","0","0","0","0","0","0","0","0","0","1"
"9334","Good",86,361,12,171,9,0,0,100,35.2176811594203,"7","8",9,0,22,0,0,0,31,16,4,2,0,67,"0","0","0","0","0","0","0","0","0","1","0"
"3371","Good",85,340,2,140,18,0,0,100,36.465,"7","8",18,3,16,2,1,1,12,72.413886328725,4,1,0,63,"0","0","0","0","0","1","0","0","0","1","0"
"4761","Bad",77,229,2,72,28,0,0,100,31.486,"7","8",33,3,48,0,10,10,30,77.3666666666667,6,2,2,50,"0","0","0","0","0","1","0","0","0","1","0"
"6746","Bad",69,178,22,74,25,0,0,92,12,"6","6",25,0,40,0,6,5,20,45,5,2,0,70,"0","0","0","0","0","0","0","0","0","0","0"
"9819","Good",73,138,15,83,19,1,1,95,17,"6","4",20,0,10,10,0,0,38,51.804,2,1,0,43,"0","0","0","0","0","1","0","0","0","0","0"
